epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5010.61,0.35928,0.20652,0.84586,0.99651,0.98934,0.99296,0.95308,0.24142,0.1441,0.77937,5.89967e-05,5.89967e-05,5.89967e-05
57,5100.09,0.35362,0.20437,0.84311,0.99301,0.98995,0.99293,0.95127,0.23778,0.14338,0.77855,5.22683e-05,5.22683e-05,5.22683e-05
58,5189.34,0.35728,0.20495,0.84611,0.99037,0.99116,0.9929,0.95308,0.24293,0.14388,0.77924,4.59431e-05,4.59431e-05,4.59431e-05
59,5278.66,0.34994,0.20128,0.8423,0.99126,0.99301,0.99286,0.95896,0.23564,0.14173,0.77777,4.00339e-05,4.00339e-05,4.00339e-05
60,5367.91,0.34728,0.20094,0.84116,0.99489,0.99018,0.99293,0.95565,0.23503,0.14092,0.77752,3.45526e-05,3.45526e-05,3.45526e-05
61,5457.48,0.30641,0.18128,0.82634,0.9858,0.99382,0.99288,0.95669,0.23215,0.14067,0.7767,2.95102e-05,2.95102e-05,2.95102e-05
62,5546.05,0.30319,0.1789,0.82294,0.99596,0.98917,0.99294,0.95781,0.2315,0.14037,0.77624,2.49169e-05,2.49169e-05,2.49169e-05
63,5634.14,0.30178,0.17911,0.82256,0.9933,0.98837,0.99295,0.95981,0.22973,0.13935,0.77597,2.07819e-05,2.07819e-05,2.07819e-05
64,5722.55,0.29923,0.17825,0.82296,0.99237,0.98876,0.99295,0.95774,0.23017,0.13897,0.77593,1.71135e-05,1.71135e-05,1.71135e-05
65,5810.99,0.29587,0.17696,0.82057,0.98974,0.99005,0.99289,0.95783,0.23273,0.13998,0.77622,1.39192e-05,1.39192e-05,1.39192e-05
66,5899.29,0.29362,0.1759,0.82015,0.99503,0.98866,0.99294,0.96008,0.22698,0.1381,0.77515,1.12053e-05,1.12053e-05,1.12053e-05
67,5987.88,0.29124,0.1754,0.81851,0.99382,0.98816,0.99295,0.95976,0.22672,0.13765,0.77504,8.97743e-06,8.97743e-06,8.97743e-06
68,6076.45,0.29133,0.17472,0.8183,0.99676,0.9883,0.99295,0.95969,0.22729,0.1376,0.7751,7.23993e-06,7.23993e-06,7.23993e-06
69,6165.0,0.28955,0.17355,0.81673,0.9953,0.98843,0.99295,0.95775,0.22828,0.13791,0.7753,5.99636e-06,5.99636e-06,5.99636e-06
70,6253.47,0.29006,0.17349,0.81865,0.99471,0.98871,0.99295,0.95851,0.22697,0.13765,0.77503,5.24922e-06,5.24922e-06,5.24922e-06
